RXN-13471	2.4.1.126
RXN-19316	2.4.2.21
RXN-8584	4.2.3.51
RXN-21687	4.2.1.59
RXN-10655	1.1.1.100
RXN-6685	1.14.11.59
RXN66-591	1.14.14.1
RXN-15745	1.1.5.3
4.2.1.61-RXN	4.2.1.59
RXN-14184	1.1.1.344
RXN-12196	3.6.1.15
MANNURONATE-REDUCTASE-RXN	1.1.1.131
HYDROXYLYSINE-KINASE-RXN	2.7.1.81
RXN0-6554	1.3.5.2
RXN-19824	2.7.1.226
RXN-7848	2.1.1.94
RXN-12344	3.2.1.136
RXN-9148	2.4.1.338
RXN-14963	1.3.5.4
RXN-17957	2.7.8.37
RXN-17845	2.3.1.253
DIENOYLCOAREDUCT-RXN	1.3.1.34
RXN-14925	1.13.11.77
RXN-13374	1.13.11.63
2.6.1.18-RXN	2.6.1.18
MANNPISOM-RXN	5.3.1.8
RXN-10737	1.20.4.4
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	1.1.1.102
RXN-12098	3.1.1.86
2.3.1.91-RXN	2.3.1.91
PPENTOMUT-RXN	5.4.2.7
4.2.3.16-RXN	4.2.3.16
ASNSYNB-RXN	6.3.5.4
RXN1G-79	2.3.1.294
1.10.2.2-RXN	7.1.1.8
RXN-5643	2.1.1.103
RXN-3768	1.1.1.348
RXN-9239	1.14.13.240
RXN-20445	1.14.14.154
RXN-15709	5.1.3.11
4.1.1.82-RXN	4.1.1.82
RXN-14092	3.2.1.187
2.4.1.41-RXN	2.4.1.41
RXN-12839	5.3.2.3
3.2.2.17-RXN	3.2.2.17
RXN-11890	2.4.1.255
H2PTEROATESYNTH-RXN	2.5.1.15
RXN-18447	6.2.1.1
THREDEHYD-RXN	4.3.1.19
RXN-14703	3.1.1.95
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	2.3.1.64
RXN-19310	3.1.3.73
3.4.24.17-RXN	3.4.24.17
RXN-12924	2.1.1.254
RXN0-2584	3.2.2.27
PROPCOASYN-RXN	1.3.8.1
RXN-12336	5.4.4.4
MYO-INOSITOL-1-KINASE-RXN	2.7.1.64
RXN-20067	3.5.1.131
RXN-12270	3.2.1.179
RXN-2581	1.14.14.96
RXN-17721	1.3.1.112
RXN-19607	3.4.19.13
RXN-18015	2.7.8.46
RXN-9885	1.3.1.32
RXN-12456	1.3.1.91
RXN-19924	4.6.1.22
HYDROXYMETHYLGLUTARYL-COA-HYDROLASE-RXN	3.1.2.5
PROSTAGLANDIN-E-SYNTHASE-RXN	5.3.99.3
ACONITATE-DECARBOXYLASE-RXN	4.1.1.6
2.6.1.72-RXN	2.6.1.72
